treatment,no_carolinus
B,0
B,0
B,0
R,1
R,0
R,0
R,1
R,0
R,0
R,1
R,0
D,0
D,0
D,0
D,1
D,0
D,0
D,0
D,0
R,0
R,0
R,0
R,0
R,0
R,0
R,1
R,0
A,1
A,0
A,0
A,0
A,0
A,0
A,0
A,0
B,0
B,1
B,0
B,0
B,0
B,0
B,0
B,1
D,0
D,0
D,0
D,0
D,0
D,0
D,0
D,0
D,0
D,1
D,0
D,0
D,0
D,0
D,0
D,0
B,0
B,1
B,0
B,0
B,0
B,0
B,0
B,0
A,0
A,1
A,0
A,0
A,0
A,0
A,0
A,0
R,0
R,1
R,1
R,1
R,0
R,0
R,1
R,1
D,1
D,0
D,1
D,0
D,0
D,1
D,0
D,0
B,1
B,0
B,1
B,0
B,0
B,0
B,0
B,0
A,0
A,0
A,0
A,0
A,0
A,0
A,0
A,0
R,0
R,0
R,1
R,0
R,1
R,0
R,1
R,0
B,0
B,0
B,0
B,1
B,0
B,1
B,0
B,0
D,0
D,1
D,0
D,0
D,0
D,0
D,0
D,0
B,0
B,0
B,0
B,0
B,0
B,0
B,0
B,0
A,0
A,0
A,0
A,0
A,0
A,0
A,0
A,1
A,0
A,0
A,0
A,0
A,0
A,1
A,0
A,0
D,0
D,0
D,1
D,1
D,1
D,0
D,1
D,1
B,0
B,0
B,0
B,0
B,0
B,0
B,0
B,1
R,0
R,0
R,1
R,0
R,0
R,1
R,0
R,0
D,0
D,0
D,0
D,0
D,0
D,0
D,0
D,1
R,1
R,1
R,0
R,0
R,1
R,0
R,0
R,1
A,0
A,0
A,0
A,0
A,0
A,0
A,0
A,0
D,0
D,0
D,1
D,1
D,1
D,0
D,1
D,0
D,0
D,1
D,0
D,0
D,0
D,1
D,0
D,1
B,0
B,1
B,0
B,0
B,1
B,1
B,0
B,0
R,0
R,1
R,0
R,0
R,0
R,0
R,1
R,1
A,1
A,0
A,0
A,0
A,0
A,1
A,0
A,0
R,0
R,0
R,1
R,1
R,0
R,0
R,0
R,1
B,0
B,0
B,1
B,0
B,0
B,0
B,0
B,0
A,0
A,0
A,0
A,0
A,0
A,0
A,0
A,0
R,1
R,0
R,0
R,0
R,0
R,0
R,1
R,1
D,1
D,0
D,0
D,0
D,0
D,0
D,0
D,1
B,0
B,0
B,0
B,1
B,0
B,0
B,0
B,1
A,0
A,0
A,1
A,0
A,0
A,0
A,1
A,1
R,1
R,0
R,0
R,0
R,0
R,0
R,0
R,0
B,0
B,1
B,0
B,0
B,0
B,1
B,0
B,0
D,1
D,0
D,1
D,0
D,0
D,1
D,0
D,0
D,0
D,0
D,0
D,0
D,0
D,0
D,1
D,0
B,0
B,1
B,0
B,0
B,0
B,0
B,0
B,0
R,0
R,1
R,0
R,0
R,1
R,0
R,0
R,0
A,0
A,0
A,0
A,1
A,0
A,0
A,0
A,0
B,0
B,0
B,0
B,0
B,0
B,0
B,0
B,1
D,0
D,0
D,1
D,0
D,0
D,1
D,0
D,1
R,1
R,0
R,0
R,0
R,0
R,0
R,0
R,0
A,0
A,0
A,0
A,1
A,0
A,0
A,0
A,0
A,1
A,0
A,0
A,0
A,0
A,0
A,0
A,0
D,1
D,0
D,1
D,0
D,0
D,0
D,0
D,0
R,0
R,0
R,1
R,1
R,0
R,0
R,1
R,0
A,0
A,1
A,0
A,0
A,0
A,0
A,1
A,0
B,1
B,0
B,0
B,0
B,1
B,0
B,0
B,0
D,0
D,0
D,1
D,0
D,1
D,0
D,0
D,0
B,0
B,1
B,0
B,1
B,0
B,0
B,0
B,0
R,1
R,0
R,0
R,1
R,0
R,1
R,0
R,1
R,0
R,0
R,0
R,1
R,1
R,0
R,0
R,0
B,0
B,0
B,0
B,1
B,0
B,0
B,1
B,0
A,0
A,0
A,0
A,0
A,0
A,1
A,0
A,0
D,1
D,0
D,1
D,0
D,0
D,0
D,0
D,1
R,0
R,1
R,0
R,0
R,1
R,0
R,1
R,1
B,0
B,0
B,0
B,0
B,0
B,0
B,0
B,0
A,0
A,1
A,1
A,0
A,0
A,0
A,0
A,0
D,0
D,0
D,0
D,1
D,0
D,0
D,0
D,0
R,0
R,0
R,0
R,0
R,0
R,0
R,1
R,0
B,0
B,0
B,0
B,0
B,0
B,1
B,0
B,0
D,0
D,0
D,0
D,1
D,0
D,0
D,0
D,0
R,0
R,0
R,0
R,0
R,0
R,0
R,1
R,0
A,0
A,0
A,0
A,0
A,0
A,1
A,0
A,0
B,1
B,0
B,1
B,0
B,1
B,0
B,1
B,0
A,0
A,0
A,1
A,0
A,0
A,0
A,0
A,1
D,1
D,0
D,1
D,0
D,0
D,1
D,0
D,0
B,0
B,0
B,0
B,0
B,0
B,0
B,0
B,0
D,1
D,0
D,0
D,0
D,0
D,0
D,0
D,1
B,0
B,0
B,1
B,0
B,0
B,1
B,0
B,0
A,1
A,1
A,0
A,0
A,0
A,0
A,0
A,1
D,1
D,1
D,1
D,0
D,1
D,0
D,1
D,0
R,0
R,0
R,0
R,1
R,0
R,0
R,0
R,1
R,0
R,0
R,0
R,1
R,0
R,0
R,1
R,0
A,0
A,0
A,0
A,0
A,0
A,0
A,0
A,0
R,0
R,0
R,0
R,1
R,0
R,0
R,0
R,0
A,0
A,0
A,0
A,1
A,0
A,0
A,0
A,0
A,1
A,0
A,0
A,0
A,0
A,0
A,0
A,0
R,0
R,1
R,0
R,0
R,0
R,0
R,1
R,0
D,1
D,1
D,1
D,1
D,0
D,1
D,1
D,1
B,0
B,0
B,0
B,0
B,0
B,0
B,0
B,0
A,0
A,0
A,0
A,0
A,0
A,0
A,0
A,0
B,0
B,0
B,0
B,0
B,0
B,0
B,0
B,0
R,0
R,0
R,0
R,1
R,1
R,0
R,0
R,0
D,1
D,1
D,1
D,0
D,0
D,1
D,0
D,1
B,0
B,0
B,0
B,0
B,0
B,0
B,0
B,0
A,0
A,1
A,0
A,0
A,0
A,0
A,0
A,0
A,0
A,0
A,0
A,0
A,0
A,0
A,1
A,0
B,0
B,0
B,0
B,0
B,0
B,0
B,0
B,0
D,1
D,0
D,1
D,1
D,1
D,0
D,1
D,0
A,0
A,1
A,1
A,0
A,1
A,0
A,0
A,0
B,0
B,0
B,0
B,1
B,0
B,0
B,1
B,0
R,0
R,1
R,0
R,1
R,0
R,1
R,1
R,0
R,0
R,0
R,0
R,0
R,0
R,1
R,0
R,0
D,1
D,0
D,1
D,0
D,0
D,1
D,0
D,1
R,0
R,0
R,0
R,1
R,1
R,0
R,0
R,0
D,0
D,1
D,1
D,0
D,0
D,0
D,0
D,1
A,0
A,1
A,0
A,0
A,0
A,0
A,0
A,1
R,1
R,0
R,0
R,0
R,0
R,0
R,1
R,0
D,0
D,1
D,0
D,0
D,0
D,0
D,0
D,1
B,0
B,0
B,1
B,0
B,0
B,1
B,1
B,0
B,1
B,0
B,1
B,0
B,0
B,1
B,0
B,0
A,0
A,0
A,0
A,0
A,0
A,0
A,0
A,1
A,0
A,0
A,0
A,0
A,0
A,0
A,0
A,0
D,1
D,0
D,0
D,0
D,0
D,0
D,0
D,0
A,0
A,0
A,0
A,0
A,0
A,0
A,0
A,0
D,0
D,1
D,0
D,0
D,0
D,0
D,0
D,0
B,0
B,1
B,0
B,0
B,1
B,0
B,0
B,0
R,0
R,1
R,1
R,0
R,0
R,0
R,0
R,0
R,0
R,0
R,0
R,0
R,1
R,0
R,0
R,0
B,0
B,0
B,0
B,0
B,1
B,0
B,0
B,1
B,0
B,0
B,0
B,0
B,0
B,0
B,0
B,0
A,0
A,0
A,0
A,0
A,0
A,0
A,0
A,0
D,0
D,0
D,0
D,1
D,0
D,1
D,0
D,0
A,0
A,0
A,0
A,0
A,0
A,0
A,0
A,0
R,0
R,0
R,0
R,1
R,0
R,0
R,0
R,0
B,0
B,1
B,1
B,0
B,1
B,0
B,0
B,1
D,0
D,1
D,0
D,1
D,0
D,1
D,1
D,1
R,0
R,1
R,0
R,0
R,0
R,0
R,0
R,0
B,0
B,0
B,0
B,0
B,0
B,0
B,0
B,0
D,0
D,0
D,0
D,1
D,0
D,0
D,0
D,0
A,0
A,0
A,0
A,0
A,0
A,0
A,0
A,0
R,0
R,0
R,1
R,0
R,1
R,0
R,0
R,0
D,0
D,1
D,1
D,0
D,0
D,0
D,0
D,0
B,0
B,0
B,0
B,0
B,1
B,0
B,0
B,0
R,0
R,0
R,0
R,0
R,0
R,0
R,0
R,0
A,0
A,0
A,0
A,0
A,0
A,0
A,0
A,0
D,0
D,0
D,1
D,0
D,0
D,0
D,0
D,0
A,1
A,0
A,0
A,0
A,0
A,0
A,0
A,1
B,1
B,0
B,0
B,0
B,0
B,1
B,0
B,0
R,0
R,0
R,0
R,1
R,0
R,1
R,0
R,0
